ts_code,symbol,name,area,industry,fullname,enname,list_date
688167.SH,688167.0,炬光科技,陕西,元器件,西安炬光科技股份有限公司,Focuslight Technologies Inc.,2021-12-24
688168.SH,688168.0,安博通,北京,软件服务,北京安博通科技股份有限公司,"Beijing ABT Networks Co.,Ltd.",2019-09-06
688169.SH,688169.0,石头科技,北京,家用电器,北京石头世纪科技股份有限公司,"Beijing Roborock Technology Co., Ltd.",2020-02-21
688170.SH,688170.0,德龙激光,江苏,专用机械,苏州德龙激光股份有限公司,"Suzhou Delphi Laser Co., Ltd.",2022-04-29
688171.SH,688171.0,纬德信息,广东,软件服务,广东纬德信息科技股份有限公司,"Guangdong Weide Information Technology Co,.Ltd.",2022-01-27
688172.SH,688172.0,燕东微,北京,半导体,北京燕东微电子股份有限公司,"Beijing Yandong Micro Electronic Co.,Ltd.",2022-12-16
688173.SH,688173.0,希荻微,广东,半导体,广东希荻微电子股份有限公司,"Halo Microelectronics Co.,Ltd.",2022-01-21
688175.SH,688175.0,高凌信息,广东,通信设备,珠海高凌信息科技股份有限公司,"Zhuhai Comleader Information Science&Technology Co., Ltd",2022-03-15
688176.SH,688176.0,亚虹医药-U,江苏,化学制药,江苏亚虹医药科技股份有限公司,"Jiangsu Yahong Meditech Co., Ltd.",2022-01-07
688177.SH,688177.0,百奥泰,广东,生物制药,百奥泰生物制药股份有限公司,"Bio-Thera Solutions, Ltd.",2020-02-21
688178.SH,688178.0,万德斯,江苏,环境保护,南京万德斯环保科技股份有限公司,"Nanjing Wondux Environmental Protection Technology Corp.,Ltd.",2020-01-14
688179.SH,688179.0,阿拉丁,上海,化学制药,上海阿拉丁生化科技股份有限公司,"Shanghai Aladdin Biochemical Technology Co., Ltd.",2020-10-26
688180.SH,688180.0,君实生物-U,上海,生物制药,上海君实生物医药科技股份有限公司,"Shanghai Junshi Biosciences Co.,Ltd.",2020-07-15
688181.SH,688181.0,八亿时空,北京,元器件,北京八亿时空液晶科技股份有限公司,"Beijing Bayi Space LCD Technology Co., Ltd.",2020-01-06
688182.SH,688182.0,灿勤科技,江苏,通信设备,江苏灿勤科技股份有限公司,"Jiangsu Cai Qin Technology Co., LTD",2021-11-16
688183.SH,688183.0,生益电子,广东,元器件,生益电子股份有限公司,"Shengyi Electronics Co., Ltd.",2021-02-25
688184.SH,688184.0,帕瓦股份,浙江,电气设备,浙江帕瓦新能源股份有限公司,"Zhejiang Power New Energy Co., Ltd.",2022-09-19
688185.SH,688185.0,康希诺,天津,生物制药,康希诺生物股份公司,Cansino Biologics Inc.,2020-08-13
688186.SH,688186.0,广大特材,江苏,特种钢,张家港广大特材股份有限公司,"Zhangjiagang Guangda Special Material Co., Ltd.",2020-02-11
688187.SH,688187.0,时代电气,湖南,运输设备,株洲中车时代电气股份有限公司,Zhuzhou CRRC Times Electric Co. Ltd.,2021-09-07
688188.SH,688188.0,柏楚电子,上海,专用机械,上海柏楚电子科技股份有限公司,Shanghai Friendess Electronic Technology Corporation Limited,2019-08-08
688189.SH,688189.0,南新制药,湖南,化学制药,湖南南新制药股份有限公司,"Hunan Nucien Pharmaceutical Co., Ltd.",2020-03-26
688190.SH,688190.0,云路股份,山东,矿物制品,青岛云路先进材料技术股份有限公司,"Qingdao Yunlu Advanced Materials Technology Co., Ltd.",2021-11-26
688191.SH,688191.0,智洋创新,山东,软件服务,智洋创新科技股份有限公司,"Zhiyang Innovation Technology Co.,Ltd.",2021-04-08
688192.SH,688192.0,迪哲医药-U,江苏,生物制药,迪哲(江苏)医药股份有限公司,"Dizal (Jiangsu) Pharmaceutical Co., Ltd.",2021-12-10
688193.SH,688193.0,仁度生物,上海,医疗保健,上海仁度生物科技股份有限公司,"Shanghai Rendu Biotechnology Co., Ltd.",2022-03-30
688195.SH,688195.0,腾景科技,福建,元器件,腾景科技股份有限公司,"Optowide Technologies Co., Ltd.",2021-03-26
688196.SH,688196.0,卓越新能,福建,环境保护,龙岩卓越新能源股份有限公司,"Longyan Zhuoyue New Energy Co., Ltd.",2019-11-21
688197.SH,688197.0,首药控股-U,北京,化学制药,首药控股(北京)股份有限公司,"Shouyao Holdings Co.,Ltd",2022-03-23
688198.SH,688198.0,佰仁医疗,北京,医疗保健,北京佰仁医疗科技股份有限公司,"Beijing Balance Medical Technology Co.,Ltd.",2019-12-09
688199.SH,688199.0,久日新材,天津,化工原料,天津久日新材料股份有限公司,"Tianjin Jiuri New Materials Co., Ltd.",2019-11-05
688200.SH,688200.0,华峰测控,北京,半导体,北京华峰测控技术股份有限公司,"Beijing Huafeng Test & Control Technology Co.,Ltd.",2020-02-18
688201.SH,688201.0,信安世纪,北京,软件服务,北京信安世纪科技股份有限公司,"Beijing Infosec Technologies Co.,Ltd",2021-04-21
688202.SH,688202.0,美迪西,上海,医疗保健,上海美迪西生物医药股份有限公司,Shanghai Medicilon Inc.,2019-11-05
688203.SH,688203.0,海正生材,浙江,塑料,浙江海正生物材料股份有限公司,Zhejiang Hisun Biomaterials Co.Ltd.,2022-08-16
688205.SH,688205.0,德科立,江苏,通信设备,无锡市德科立光电子技术股份有限公司,"Wuxi Taclink Optoelectronics Technology Co., Ltd.",2022-08-09
688206.SH,688206.0,概伦电子,上海,半导体,上海概伦电子股份有限公司,"Primarius Technologies Co., Ltd.",2021-12-28
688207.SH,688207.0,格灵深瞳,北京,软件服务,北京格灵深瞳信息技术股份有限公司,"Beijing Deep Glint Technology Co., Ltd.",2022-03-17
688208.SH,688208.0,道通科技,深圳,IT设备,深圳市道通科技股份有限公司,"Autel Intelligent Technology Corp.,Ltd.",2020-02-13
688209.SH,688209.0,英集芯,深圳,半导体,深圳英集芯科技股份有限公司,"Shenzhen Injoinic Technology Co., Ltd.",2022-04-19
688210.SH,688210.0,统联精密,深圳,元器件,深圳市泛海统联精密制造股份有限公司,"Shenzhen Pacific Union Precision Manufacturing Co., Ltd.",2021-12-27
688211.SH,688211.0,中科微至,江苏,专用机械,中科微至科技股份有限公司,"Wayzim Technology Co., Ltd.",2021-10-26
688212.SH,688212.0,澳华内镜,上海,医疗保健,上海澳华内镜股份有限公司,"Shanghai Aohua Photoelectricity Endoscope Co., Ltd.",2021-11-15
688213.SH,688213.0,思特威-W,上海,半导体,思特威(上海)电子科技股份有限公司,"Smartsens Technology (Shanghai) Co., Ltd.",2022-05-20
688215.SH,688215.0,瑞晟智能,浙江,专用机械,浙江瑞晟智能科技股份有限公司,"Zhejiang Risun Intelligent Technology Co.,Ltd.",2020-08-28
688216.SH,688216.0,气派科技,深圳,半导体,气派科技股份有限公司,"China Chippacking Technology Co.,Ltd.",2021-06-23
688217.SH,688217.0,睿昂基因,上海,医疗保健,上海睿昂基因科技股份有限公司,"Shanghai Rightongene Biotechnology Co., Ltd.",2021-05-17
688218.SH,688218.0,江苏北人,江苏,专用机械,江苏北人智能制造科技股份有限公司,"Jiangsu Beiren Smart Manufacturing Technology Co., Ltd.",2019-12-11
688219.SH,688219.0,会通股份,安徽,塑料,会通新材料股份有限公司,"Orinko Advanced Plastics Co.,Ltd.",2020-11-18
688220.SH,688220.0,翱捷科技-U,上海,半导体,翱捷科技股份有限公司,"ASR Microelectronics Co., Ltd.",2022-01-14
688221.SH,688221.0,前沿生物-U,江苏,生物制药,前沿生物药业(南京)股份有限公司,Frontier Biotechnologies Inc.,2020-10-28
